Borough,Year,NOx,PM10,PM2.5,Total_Emissions
Barking and Dagenham,2010,"4,217",910,456,"5,583"
Barking and Dagenham,2011,"4,238",988,470,"5,696"
Barking and Dagenham,2012,"4,672",955,430,"6,058"
Barking and Dagenham,2013,"4,601","1,004",436,"6,041"
Barking and Dagenham,2014,"4,572",909,400,"5,880"
Barking and Dagenham,2015,"4,350",849,365,"5,563"
Barking and Dagenham,2016,"4,818",830,382,"6,029"
Barking and Dagenham,2017,"4,134",775,346,"5,255"
Barking and Dagenham,2018,"3,352",793,328,"4,474"
Barking and Dagenham,2019,"2,985",819,357,"4,161"
Barking and Dagenham,2020,"2,627",721,314,"3,662"
Barking and Dagenham,2021,"2,836",779,339,"3,953"
Barking and Dagenham,2022,"2,896",795,346,"4,037"
Barnet,2010,"8,197","1,438",751,"10,385"
Barnet,2011,"8,237","1,562",774,"10,573"
Barnet,2012,"9,081","1,510",708,"11,299"
Barnet,2013,"8,942","1,587",718,"11,247"
Barnet,2014,"8,885","1,436",658,"10,980"
Barnet,2015,"8,455","1,341",600,"10,397"
Barnet,2016,"9,364","1,312",629,"11,304"
Barnet,2017,"8,034","1,226",569,"9,829"
Barnet,2018,"6,515","1,254",541,"8,310"
Barnet,2019,"5,802","1,296",587,"7,685"
Barnet,2020,"5,106","1,140",517,"6,763"
Barnet,2021,"5,512","1,231",558,"7,301"
Barnet,2022,"5,628","1,257",570,"7,454"
Bexley,2010,"11,150","1,169",649,"12,967"
Bexley,2011,"11,204","1,270",669,"13,143"
Bexley,2012,"12,352","1,227",612,"14,191"
Bexley,2013,"12,164","1,290",620,"14,074"
Bexley,2014,"12,087","1,167",569,"13,823"
Bexley,2015,"11,501","1,090",519,"13,110"
Bexley,2016,"12,737","1,066",544,"14,347"
Bexley,2017,"10,928",996,492,"12,416"
Bexley,2018,"8,863","1,019",467,"10,349"
Bexley,2019,"7,893","1,053",507,"9,453"
Bexley,2020,"6,946",926,446,"8,318"
Bexley,2021,"7,498","1,000",482,"8,980"
Bexley,2022,"7,656","1,021",492,"9,169"
Brent,2010,"5,573","1,201",574,"7,348"
Brent,2011,"5,600","1,305",591,"7,497"
Brent,2012,"6,174","1,262",541,"7,976"
Brent,2013,"6,080","1,326",548,"7,954"
Brent,2014,"6,041","1,200",503,"7,744"
Brent,2015,"5,748","1,121",459,"7,328"
Brent,2016,"6,366","1,096",481,"7,942"
Brent,2017,"5,462","1,024",435,"6,921"
Brent,2018,"4,430","1,048",413,"5,891"
Brent,2019,"3,945","1,082",449,"5,476"
Brent,2020,"3,471",953,395,"4,819"
Brent,2021,"3,747","1,028",426,"5,202"
Brent,2022,"3,826","1,050",435,"5,311"
Bromley,2010,"5,867","1,096",671,"7,634"
Bromley,2011,"5,896","1,191",691,"7,778"
Bromley,2012,"6,500","1,151",633,"8,283"
Bromley,2013,"6,401","1,210",641,"8,252"
Bromley,2014,"6,360","1,095",588,"8,043"
Bromley,2015,"6,052","1,022",536,"7,611"
Bromley,2016,"6,703",999,562,"8,264"
Bromley,2017,"5,751",934,509,"7,193"
Bromley,2018,"4,664",956,483,"6,103"
Bromley,2019,"4,153",987,524,"5,665"
Bromley,2020,"3,655",869,461,"4,985"
Bromley,2021,"3,946",938,498,"5,382"
Bromley,2022,"4,029",958,509,"5,495"
Camden,2010,"6,124","1,010",502,"7,636"
Camden,2011,"6,154","1,098",517,"7,769"
Camden,2012,"6,785","1,061",473,"8,319"
Camden,2013,"6,682","1,115",479,"8,276"
Camden,2014,"6,639","1,009",440,"8,088"
Camden,2015,"6,318",942,401,"7,661"
Camden,2016,"6,996",921,420,"8,338"
Camden,2017,"6,003",861,380,"7,244"
Camden,2018,"4,868",881,361,"6,111"
Camden,2019,"4,335",910,392,"5,638"
Camden,2020,"3,815",801,345,"4,961"
Camden,2021,"4,119",865,373,"5,356"
Camden,2022,"4,205",883,380,"5,468"
City of London ,2010,"2,694",564,231,"3,489"
City of London ,2011,"2,707",612,238,"3,558"
City of London ,2012,"2,985",592,218,"3,794"
City of London ,2013,"2,939",622,221,"3,782"
City of London ,2014,"2,920",563,203,"3,686"
City of London ,2015,"2,779",526,185,"3,490"
City of London ,2016,"3,078",514,194,"3,785"
City of London ,2017,"2,640",480,175,"3,296"
City of London ,2018,"2,141",492,166,"2,800"
City of London ,2019,"1,907",508,181,"2,596"
City of London ,2020,"1,678",447,159,"2,284"
City of London ,2021,"1,812",482,172,"2,466"
City of London ,2022,"1,850",493,175,"2,518"
Croydon,2010,"5,599","1,359",662,"7,620"
Croydon,2011,"5,626","1,477",682,"7,785"
Croydon,2012,"6,203","1,427",624,"8,254"
Croydon,2013,"6,108","1,500",632,"8,241"
Croydon,2014,"6,069","1,358",580,"8,007"
Croydon,2015,"5,775","1,268",529,"7,572"
Croydon,2016,"6,396","1,239",554,"8,190"
Croydon,2017,"5,488","1,158",502,"7,148"
Croydon,2018,"4,451","1,185",476,"6,113"
Croydon,2019,"3,963","1,224",517,"5,705"
Croydon,2020,"3,488","1,077",455,"5,021"
Croydon,2021,"3,765","1,163",492,"5,420"
Croydon,2022,"3,845","1,188",502,"5,534"
Ealing,2010,"6,763","1,206",658,"8,627"
Ealing,2011,"6,796","1,311",678,"8,785"
Ealing,2012,"7,493","1,267",620,"9,380"
Ealing,2013,"7,379","1,331",628,"9,339"
Ealing,2014,"7,332","1,205",576,"9,113"
Ealing,2015,"6,976","1,125",526,"8,627"
Ealing,2016,"7,726","1,100",551,"9,377"
Ealing,2017,"6,629","1,028",499,"8,156"
Ealing,2018,"5,376","1,052",473,"6,902"
Ealing,2019,"4,788","1,087",514,"6,389"
Ealing,2020,"4,213",956,452,"5,622"
Ealing,2021,"4,548","1,032",488,"6,069"
Ealing,2022,"4,644","1,054",499,"6,197"
Enfield,2010,"10,870","1,383",719,"12,971"
Enfield,2011,"10,923","1,502",741,"13,166"
Enfield,2012,"12,042","1,452",678,"14,172"
Enfield,2013,"11,859","1,526",687,"14,072"
Enfield,2014,"11,783","1,381",630,"13,794"
Enfield,2015,"11,212","1,290",574,"13,077"
Enfield,2016,"12,417","1,261",602,"14,280"
Enfield,2017,"10,654","1,178",545,"12,377"
Enfield,2018,"8,640","1,206",518,"10,364"
Enfield,2019,"7,695","1,246",562,"9,502"
Enfield,2020,"6,771","1,096",495,"8,362"
Enfield,2021,"7,310","1,183",534,"9,027"
Enfield,2022,"7,464","1,208",545,"9,217"
Greenwich,2010,"5,775","1,141",589,"7,505"
Greenwich,2011,"5,803","1,239",608,"7,650"
Greenwich,2012,"6,398","1,198",556,"8,152"
Greenwich,2013,"6,301","1,259",563,"8,123"
Greenwich,2014,"6,260","1,139",517,"7,916"
Greenwich,2015,"5,957","1,064",471,"7,492"
Greenwich,2016,"6,597","1,040",494,"8,132"
Greenwich,2017,"5,660",972,447,"7,079"
